idx,L,L_over_M,M,success,error,r_match,rho_central,p_central,fractional_shift,fractional_local,echo_delay_M,echo_delay_ms,r_core
0,0.01,0.01,1.0,True,,2.020191996895678,1193.6620731772787,-1193.6620731772787,675.4162977670162,1.7771327820471255e-05,3899984393749961.5,192074231392185.6,0.04019992006894678
1,0.02,0.02,1.0,True,,2.039583673566346,298.41551829655776,-298.41551829655776,131.29321006627043,7.121883216196622e-05,3898408163257444.0,191996602040429.12,0.060391836835653474
2,0.05,0.05,1.0,True,,2.1975966387522186,47.7464829275495,-47.7464829275495,13.57538914618139,0.00044752128623847784,3773873949572205.5,185863292016431.12,0.12096758713577352
3,0.1,0.1,1.0,True,,2.5135518208246026,11.936620731890956,-11.936620731890956,6.134672969416402,0.0018047459296652883,3566963585427118.0,175672956582285.6,0.202000000101
5,0.5,0.5,1.0,True,,4.381860744391767,0.4774648292756842,-0.4774648292756842,247.53234687669624,0.043047325465686834,2528953738367718.5,124550971614610.14,0.5914373721395546
6,0.77,0.77,1.0,True,,5.25804849949304,0.201326036969002,-0.201326036969002,633.98802269834,0.10023974331922497,637.2800140905439,31.38604069395929,0.7886845141717934
4,0.2,0.2,1.0,True,,3.10310204091183,2.984155182972963,-2.984155182972963,1.3375363848577084,0.007043453416392626,3321872562139163.5,163602223685353.8,0.32084763259364024
8,2.0,2.0,1.0,True,,8.049315726382705,0.029841551829730365,-0.029841551829730365,637.1304478110458,0.5792950493934765,6.074028317871348,0.29914589465516395,1.484737302447528
9,5.0,5.0,1.0,True,,12.351260504296981,0.004774648292756861,-0.004774648292756861,636.9926053789137,1.7103577763493123,0.6629582398832268,0.03265069331424892,2.742680824227544
7,1.0,1.0,1.0,True,,5.8983353342264895,0.11936620731892142,-0.11936620731892142,634.2948994457644,0.1684953709554625,18.027862453471172,0.8878722258334553,0.9380686404977444
10,10.0,10.0,1.0,True,,17.1978066082243,0.0011936620731892152,-0.0011936620731892152,635.1472359288413,2.3174260000354128,3.0130999817458957,0.14839517410098538,4.344065717436975
