L_over_M,w,shift
0.050000,-1.0,0.0004443827
0.069231,-1.0,0.0008518442
0.088462,-1.0,0.0013905853
0.107692,-1.0,0.0020604735
0.126923,-1.0,0.0028613436
0.146154,-1.0,0.0037929982
0.165385,-1.0,0.0048552081
0.184615,-1.0,0.0060477115
0.203846,-1.0,0.0073702151
0.223077,-1.0,0.0088223933
0.242308,-1.0,0.0104038892
0.261538,-1.0,0.0121143140
0.280769,-1.0,0.0139532475
0.300000,-1.0,0.0159202382
0.319231,-1.0,0.0180148034
0.338462,-1.0,0.0202364297
0.357692,-1.0,0.0225845726
0.376923,-1.0,0.0250586573
0.396154,-1.0,0.0276580788
0.415385,-1.0,0.0303822016
0.434615,-1.0,0.0332303608
0.453846,-1.0,0.0362018618
0.473077,-1.0,0.0392959808
0.492308,-1.0,0.0425119648
0.511538,-1.0,0.0458490324
0.530769,-1.0,0.0493063738
0.550000,-1.0,0.0528831511
0.569231,-1.0,0.0565784988
0.588462,-1.0,0.0603915240
0.607692,-1.0,0.0643213073
0.626923,-1.0,0.0683669022
0.646154,-1.0,0.0725273366
0.665385,-1.0,0.0768016124
0.684615,-1.0,0.0811887064
0.703846,-1.0,0.0856875705
0.723077,-1.0,0.0902971325
0.742308,-1.0,0.0950162961
0.761538,-1.0,0.0998439418
0.780769,-1.0,0.1047789271
0.800000,-1.0,0.1098200873
0.050000,-0.5,0.0004351235
0.069231,-0.5,0.0008340927
0.088462,-0.5,0.0013616023
0.107692,-0.5,0.0020175194
0.126923,-0.5,0.0028016791
0.146154,-0.5,0.0037138842
0.165385,-0.5,0.0047539053
0.184615,-0.5,0.0059214812
0.203846,-0.5,0.0072163185
0.223077,-0.5,0.0086380922
0.242308,-0.5,0.0101864458
0.261538,-0.5,0.0118609912
0.280769,-0.5,0.0136613089
0.300000,-0.5,0.0155869485
0.319231,-0.5,0.0176374286
0.338462,-0.5,0.0198122370
0.357692,-0.5,0.0221108312
0.376923,-0.5,0.0245326385
0.396154,-0.5,0.0270770559
0.415385,-0.5,0.0297434511
0.434615,-0.5,0.0325311622
0.453846,-0.5,0.0354394982
0.473077,-0.5,0.0384677394
0.492308,-0.5,0.0416151375
0.511538,-0.5,0.0448809162
0.530769,-0.5,0.0482642714
0.550000,-0.5,0.0517643715
0.569231,-0.5,0.0553803581
0.588462,-0.5,0.0591113461
0.607692,-0.5,0.0629564242
0.626923,-0.5,0.0669146552
0.646154,-0.5,0.0709850769
0.665385,-0.5,0.0751667021
0.684615,-0.5,0.0794585189
0.703846,-0.5,0.0838594920
0.723077,-0.5,0.0883685624
0.742308,-0.5,0.0929846481
0.761538,-0.5,0.0977066448
0.780769,-0.5,0.1025334264
0.800000,-0.5,0.1074638453
0.050000,0.0,0.0004258642
0.069231,0.0,0.0008163412
0.088462,0.0,0.0013326192
0.107692,0.0,0.0019745653
0.126923,0.0,0.0027420147
0.146154,0.0,0.0036347702
0.165385,0.0,0.0046526026
0.184615,0.0,0.0057952508
0.203846,0.0,0.0070624218
0.223077,0.0,0.0084537911
0.242308,0.0,0.0099690024
0.261538,0.0,0.0116076683
0.280769,0.0,0.0133693703
0.300000,0.0,0.0152536589
0.319231,0.0,0.0172600537
0.338462,0.0,0.0193880444
0.357692,0.0,0.0216370899
0.376923,0.0,0.0240066196
0.396154,0.0,0.0264960330
0.415385,0.0,0.0291047006
0.434615,0.0,0.0318319636
0.453846,0.0,0.0346771346
0.473077,0.0,0.0376394981
0.492308,0.0,0.0407183103
0.511538,0.0,0.0439128000
0.530769,0.0,0.0472221690
0.550000,0.0,0.0506455920
0.569231,0.0,0.0541822175
0.588462,0.0,0.0578311682
0.607692,0.0,0.0615915411
0.626923,0.0,0.0654624082
0.646154,0.0,0.0694428173
0.665385,0.0,0.0735317917
0.684615,0.0,0.0777283315
0.703846,0.0,0.0820314136
0.723077,0.0,0.0864399922
0.742308,0.0,0.0909530000
0.761538,0.0,0.0955693478
0.780769,0.0,0.1002879256
0.800000,0.0,0.1051076033
0.050000,0.3,0.0004203086
0.069231,0.3,0.0008056903
0.088462,0.3,0.0013152293
0.107692,0.3,0.0019487928
0.126923,0.3,0.0027062160
0.146154,0.3,0.0035873018
0.165385,0.3,0.0045918210
0.184615,0.3,0.0057195126
0.203846,0.3,0.0069700839
0.223077,0.3,0.0083432104
0.242308,0.3,0.0098385363
0.261538,0.3,0.0114556746
0.280769,0.3,0.0131942072
0.300000,0.3,0.0150536851
0.319231,0.3,0.0170336288
0.338462,0.3,0.0191335288
0.357692,0.3,0.0213528451
0.376923,0.3,0.0236910082
0.396154,0.3,0.0261474193
0.415385,0.3,0.0287214503
0.434615,0.3,0.0314124444
0.453846,0.3,0.0342197165
0.473077,0.3,0.0371425532
0.492308,0.3,0.0401802139
0.511538,0.3,0.0433319303
0.530769,0.3,0.0465969076
0.550000,0.3,0.0499743243
0.569231,0.3,0.0534633332
0.588462,0.3,0.0570630614
0.607692,0.3,0.0607726112
0.626923,0.3,0.0645910600
0.646154,0.3,0.0685174615
0.665385,0.3,0.0725508455
0.684615,0.3,0.0766902191
0.703846,0.3,0.0809345665
0.723077,0.3,0.0852828502
0.742308,0.3,0.0897340112
0.761538,0.3,0.0942869696
0.780769,0.3,0.0989406252
0.800000,0.3,0.1036938581
